room,location,beds,max_guests,high_season_7n,green_season_7n
Coco Solo,Beach Bungalow - Garden-facing,1 Double + 1 Single,3,1250,1100
Palmiche,Beach Bungalow - Ocean view,1 Double,2,1250,1100
Naranjo,Beach Bungalow - Ocean view,1 Double,2,1250,1100
Mango,Garden Bungalow,1 Double,2,1100,1050
Solo Bueno North,Jungle Suite,1 Double + 1 Single,3,1200,1100
Solo Bueno South,Jungle Suite,1 Double + 1 Single,3,1200,1100
White Hawk Top,Jungle Suite,1 Double + 1 Single,3,1250,1150
White Hawk Bottom,Jungle Suite,1 Double + 2 Singles,4,1150,1000
Cachimbo Top,Gardens and stream,1 Double + 2 Singles,4,1150,1100
Cachimbo Bottom,Gardens and stream,1 Double + 1 Single,3,1000,900
Lapa Lapa West,Adjacent to shala - shared bath - for facilitators,1 Double + 1 Single,3,1000,900
Lapa Lapa East,Adjacent to shala - shared bath - for facilitators,2 Singles,2,1000,900
